RegNo,HerdCode,DrayDate
3.64099E+14,,1384/06/18
3.64099E+14,,1384/03/20
3.64099E+14,,1385/03/19
3.64099E+14,,1383/09/20
3.64099E+14,,1385/04/23
3.64099E+14,,1386/01/10
3.64099E+14,,1384/05/07
3.64099E+14,,1385/01/05
3.64099E+14,,1385/11/25
3.64099E+14,,1384/05/07
3.64099E+14,,1385/07/20
3.64099E+14,,1385/01/10
3.64099E+14,,1384/06/18
3.64099E+14,,1385/11/20
3.64099E+14,,1385/07/25
3.64099E+14,,1385/04/23
3.64099E+14,,1385/07/25
3.64099E+14,,1385/10/15
3.64099E+14,,1384/12/12
3.64099E+14,,1385/02/02
3.64099E+14,,1385/04/23
3.64099E+14,,1385/07/20
3.64099E+14,,1384/12/04
3.64099E+14,,1385/11/25
3.64099E+14,,1386/01/10
3.64099E+14,,1384/11/01
3.64099E+14,,1385/04/23
3.64099E+14,,1385/11/08
3.64099E+14,,1386/01/05
3.64099E+14,,1388/09/02
3.64099E+14,,1389/12/01
3.64099E+14,,1387/02/01
3.64099E+14,,1387/12/01
3.64099E+14,,1388/12/01
3.64099E+14,,1388/04/01
3.64099E+14,,1387/02/01
3.64099E+14,,1389/01/01
3.64099E+14,,1388/08/03
3.64099E+14,,1389/08/20
3.64099E+14,,1389/04/20
3.64099E+14,,1390/04/30
3.64099E+14,,1391/07/20
3.64099E+14,,1387/07/01
3.64099E+14,,1388/09/02
3.64099E+14,,1389/10/03
3.64099E+14,,1390/10/23
3.64099E+14,,1388/03/31
3.64099E+14,,1389/03/31
3.64099E+14,,1390/04/10
3.64099E+14,,1391/03/20
3.64099E+14,,1388/05/01
3.64099E+14,,1389/08/20
3.64099E+14,,1390/10/16
3.64099E+14,,1389/03/22
3.64099E+14,,1390/05/10
3.64099E+14,,1388/07/23
3.64099E+14,,1389/08/30
3.64099E+14,,1389/02/03
3.64099E+14,,1390/05/10
3.64099E+14,,1391/07/30
3.64099E+14,,1392/11/03
3.64099E+14,,1389/06/23
3.64099E+14,,1390/07/28
3.64099E+14,,1391/10/03
3.64099E+14,,1392/11/03
3.64099E+14,,1394/03/01
3.64099E+14,,1389/04/01
3.64099E+14,,1390/11/15
3.64099E+14,,1388/12/10
3.64099E+14,,1387/12/08
3.64099E+14,,1388/08/03
3.64099E+14,,1389/09/04
3.64099E+14,,1388/06/04
3.64099E+14,,1389/10/02
3.64099E+14,,1390/10/23
3.64099E+14,,1391/10/03
3.64099E+14,,1392/11/03
3.64099E+14,,1389/01/12
3.64099E+14,,1389/11/01
3.64099E+14,,1388/09/02
3.64099E+14,,1389/08/30
3.64099E+14,,1390/08/05
3.64099E+14,,1391/10/19
3.64099E+14,,1392/12/04
3.64099E+14,,1390/01/20
3.64099E+14,,1391/03/15
3.64099E+14,,1392/07/02
3.64099E+14,,1394/03/01
3.64099E+14,,1395/08/08
3.64099E+14,,1389/05/01
3.64099E+14,,1390/06/10
3.64099E+14,,1389/01/16
3.64099E+14,,1390/08/05
3.64099E+14,,1388/04/28
3.64099E+14,,1389/05/01
3.64099E+14,,1390/07/02
3.64099E+14,,1389/02/03
3.64099E+14,,1390/02/31
3.64099E+14,,1389/01/28
3.64099E+14,,1390/01/08
3.64099E+14,,1389/01/01
3.64099E+14,,1389/01/31
3.64099E+14,,1389/12/01
3.64099E+14,,1391/05/22
3.64099E+14,,1392/08/24
3.64099E+14,,1389/03/22
3.64099E+14,,1390/02/20
3.64099E+14,,1391/02/18
3.64099E+14,,1389/08/01
3.64099E+14,,1390/08/01
3.64099E+14,,1389/03/16
3.64099E+14,,1390/03/20
3.64099E+14,,1391/06/01
3.64099E+14,,1389/01/12
3.64099E+14,,1391/02/18
3.64099E+14,,1392/04/03
3.64099E+14,,1389/08/01
3.64099E+14,,1389/08/01
3.64099E+14,,1390/06/18
3.64099E+14,,1391/12/20
3.64099E+14,,1389/02/01
3.64099E+14,,1389/08/30
3.64099E+14,,1390/11/15
3.64099E+14,,1388/10/02
3.64099E+14,,1391/01/01
3.64099E+14,,1392/04/20
3.64099E+14,,1388/12/10
3.64099E+14,,1390/10/09
3.64099E+14,,1388/07/22
3.64099E+14,,1389/06/21
3.64099E+14,,1390/08/25
3.64099E+14,,1391/08/13
3.64099E+14,,1392/10/13
3.64099E+14,,1394/03/01
3.64099E+14,,1388/08/03
3.64099E+14,,1389/07/06
3.64099E+14,,1390/08/05
3.64099E+14,,1389/06/03
3.64099E+14,,1390/07/28
3.64099E+14,,1388/09/01
3.64099E+14,,1389/08/20
3.64099E+14,,1388/09/24
3.64099E+14,,1389/11/12
3.64099E+14,,1388/05/14
3.64099E+14,,1389/07/06
