HerdCode,RegNo,Jalali,Fat,Protein,FreezingPointDepression,Cells
,3.64009E+14,1399/05/02,3.09,2.97,,
,3.64009E+14,1399/06/02,4.61,3.49,,86
,3.64009E+14,1399/02/01,4.39,2.82,,46
,3.64009E+14,1401/02/04,4.05,2.67,,42
,3.64009E+14,1401/07/07,5.53,3.76,,124
,3.64009E+14,1402/10/11,4.31,3.33,,11
,3.64099E+14,1399/02/01,3.77,2.98,,404
,3.64099E+14,1399/04/10,3.1,3.79,,22
,3.64009E+14,1402/05/13,3.88,2.74,,12
,3.64009E+14,1399/04/10,4.98,3.37,,274
,3.64009E+14,1401/06/07,4.17,3.91,,786
,3.64099E+14,1400/09/01,2.9,1.95,,16
,3.64009E+14,1401/12/10,6.04,2.77,,82
,3.64009E+14,1400/05/02,2.7,3.66,,
,3.64009E+14,1401/06/07,4,3.39,,134
,3.64009E+14,1401/08/08,5.75,4.17,,186
,3.64099E+14,1399/05/02,2.66,3.38,,
,3.64099E+14,1400/03/04,3.31,3.04,,225
,3.64009E+14,1403/06/18,4.31,4.43,,14
,3.64009E+14,1399/08/03,2.78,3.5,,707
,3.64009E+14,1399/02/01,3.03,2.85,,292
,3.64009E+14,1400/08/01,5.11,3.5,,232
,3.64009E+14,1402/06/15,4.11,2.48,,86
,3.64009E+14,1400/01/03,3.52,3.09,,652
,3.64099E+14,1398/09/05,2.67,3.46,,127
,3.64099E+14,1401/04/04,2.53,2.96,,501
,3.64009E+14,1399/04/10,3.08,2.14,,22
,3.64009E+14,1399/11/01,4.73,3.01,,
,3.64099E+14,1399/01/08,3.53,3.45,,141
,3.64099E+14,1400/07/04,3.11,3.17,20,
,3.64099E+14,1402/09/11,4.47,3.21,,350
,3.64009E+14,1402/03/12,5,2.46,,1686
,3.64009E+14,1403/06/18,2.42,3.3,,14
,3.64099E+14,1400/06/02,2.73,3.08,,24
,3.64099E+14,1399/02/01,3.62,2.62,,147
,3.64009E+14,1400/05/02,3,3.01,,
,3.64009E+14,1403/04/11,2.72,2.99,,
,3.64099E+14,1402/07/11,2.98,2.72,,1861
,3.64009E+14,1402/01/09,4.96,2.83,,122
,3.64009E+14,1401/03/08,4.02,2.77,,35
,3.64009E+14,1398/12/05,4.6,3.93,,
,3.64009E+14,1399/10/05,3.28,2.5,,246
,3.64009E+14,1400/06/02,2.14,3.16,,18
,3.64009E+14,1402/04/11,5.46,2.59,,14
,3.64099E+14,1402/03/12,5,2.56,,520
,3.64009E+14,1402/10/11,3.99,3.54,,11
,3.64009E+14,1403/05/15,3.71,3.12,,15
,3.64009E+14,1399/10/05,3.38,2.66,,148
,3.64009E+14,1400/02/01,3.37,3.23,,
,3.64009E+14,1400/07/04,3.93,3.05,17,
,3.64009E+14,1401/04/04,4.21,3.42,,179
,3.64009E+14,1402/04/11,6.08,2.75,,497
,3.64099E+14,1399/12/01,4.21,2.85,,293
,3.64099E+14,1401/11/09,3.26,3.24,,1484
,3.64009E+14,1403/08/24,2,3.35,,264
,3.64009E+14,1401/10/07,5.11,3.86,,66
,3.64009E+14,1401/07/07,6.99,4.24,,37
,3.64009E+14,1400/09/01,3.81,2.9,,17
,3.64099E+14,1401/08/08,3.86,3.76,,37
,3.64009E+14,1401/07/07,4.99,3.41,,410
,3.64099E+14,1400/12/02,2.49,2.64,,22
,3.64009E+14,1403/07/22,2.48,2.62,,39
,3.64009E+14,1398/12/05,2.98,3,,
,3.64009E+14,1402/04/11,5.66,2.74,,739
,3.64009E+14,1399/01/08,2.98,3,,32
,3.64009E+14,1400/11/05,4.64,3.31,,22
,3.64009E+14,1403/04/11,3.01,3.34,,
,3.64009E+14,1400/08/01,3.62,3.3,,188
,3.64009E+14,1400/01/03,3.16,2.6,,320
,3.64099E+14,1401/05/04,3.49,3.31,,170
,3.64009E+14,1402/12/16,5,3,,24
,3.64009E+14,1402/01/09,3.85,2.76,,3299
,3.64009E+14,1400/11/05,4.18,3.43,,17
,3.64009E+14,1400/07/04,5.17,4.01,16,
,3.64009E+14,1401/09/08,2.76,3.08,,186
,3.64099E+14,1399/12/01,3.3,3.6,,271
,3.64099E+14,1398/10/03,3.35,3.27,,231
,3.64009E+14,1401/10/07,4.67,3.53,,77
,3.64009E+14,1402/09/11,4.42,3.45,,352
,3.64009E+14,1399/04/10,4.91,3.26,,72
,3.64009E+14,1402/07/11,4.58,3.15,,12
,3.64099E+14,1399/05/02,3.87,2.92,,
,3.64099E+14,1399/07/02,3.87,3.77,,118
,3.64009E+14,1402/12/16,4.52,2.78,,76
,3.64009E+14,1402/04/11,3.88,2.77,,96
,3.64009E+14,1399/02/01,4.03,3.03,,26
,3.64009E+14,1402/06/15,2.77,2.54,,411
,3.64099E+14,1399/05/02,4.18,2.74,,
,3.64009E+14,1400/02/01,3.43,2.5,,
,3.64009E+14,1402/09/11,4.07,3.17,,749
,3.64009E+14,1402/02/12,3.88,2.57,,17
,3.64009E+14,1400/06/02,3.69,3.32,,72
,3.64099E+14,1399/02/01,4.21,2.75,,23
,3.64099E+14,1398/10/03,4.79,3.3,,345
,3.64099E+14,1399/12/01,2.67,2.87,,50
,3.64099E+14,1398/12/05,2.38,3.42,,
,3.64009E+14,1402/10/11,4.26,3.64,,12
,3.64009E+14,1403/06/18,3.75,3.4,,62
,3.64009E+14,1400/04/01,2.56,3.88,,146
,3.64009E+14,1401/05/04,2.26,3.36,,125
,3.64009E+14,1400/09/01,4.32,3.4,,21
,3.64099E+14,1400/12/02,2.67,2.96,,18
,3.64009E+14,1401/02/04,3.88,2.71,,36
,3.64009E+14,1400/12/02,2.74,3.07,,16
,3.64009E+14,1400/11/05,3.13,3.04,,22
,3.64099E+14,1399/01/08,3.45,2.65,,240
,3.64009E+14,1401/07/07,5.99,4.13,,170
,3.64009E+14,1403/07/22,4.1,3.01,,17
,3.64009E+14,1402/11/15,5,3.31,,
,3.64009E+14,1402/06/15,3.75,3.11,,45
,3.64009E+14,1401/02/04,4.21,3.05,,58
,3.64009E+14,1402/09/11,3.87,2.67,,46
,3.64009E+14,1401/11/09,3.85,2.76,,54
,3.64099E+14,1399/04/10,5,3.08,,32
,3.64009E+14,1403/08/24,2,2.94,,196
,3.64099E+14,1401/09/08,3.44,3.45,,98
,3.64009E+14,1403/08/24,5,4.64,,244
,3.64009E+14,1399/10/05,3.38,3.63,,196
,3.64009E+14,1400/12/02,4.14,3.53,,25
,3.64009E+14,1401/02/04,3.29,2.67,,151
,3.64009E+14,1400/01/03,5.19,3.48,,465
,3.64009E+14,1400/06/02,3.05,2.94,,24
,3.64009E+14,1401/04/04,2.95,2.69,,3453
,3.64099E+14,1399/04/10,5,3.91,,26
,3.64009E+14,1399/06/02,3.14,2.8,,55
,3.64009E+14,1401/12/10,4.02,2.56,,109
,3.64099E+14,1399/01/08,3.8,2.86,,2339
,3.64009E+14,1402/07/11,3,3.27,,12
,3.64009E+14,1400/08/01,5.2,3.96,,236
,3.64099E+14,1399/12/01,3.41,3,,519
,3.64099E+14,1402/06/15,3.53,3.14,,97
,3.64009E+14,1401/07/07,4.08,3.87,,105
,3.64009E+14,1399/05/02,2.57,2.92,,
,3.64009E+14,1400/06/02,3.69,3.87,,25
,3.64009E+14,1399/05/02,2.75,2.99,,
,3.64009E+14,1400/07/04,3.64,2.86,21,
,3.64009E+14,1400/05/02,3.79,3.55,,
,3.64009E+14,1401/01/06,4.54,2.8,,33
,3.64009E+14,1400/03/04,3.25,2.76,,21
,3.64099E+14,1399/01/08,4.12,2.73,,198
,3.64009E+14,1401/04/04,4.08,2.92,,3161
,3.64009E+14,1400/05/02,4.73,3.95,,
,3.64009E+14,1403/05/15,3.6,3.43,,14
,3.64009E+14,1398/11/03,4.66,3.31,,684
,3.64009E+14,1402/10/11,3.23,2.9,,11
,3.64009E+14,1398/12/05,2.37,2.95,,
,3.64009E+14,1402/02/12,3.96,2.69,,11
,3.64009E+14,1399/10/05,3.49,2.66,,136
,3.64009E+14,1402/01/09,5.68,3.38,,16
,3.64009E+14,1400/04/01,2.4,3.63,,246
,3.64009E+14,1401/06/07,4.81,4,,137
,3.64009E+14,1402/10/11,4.07,3.46,,13
,3.64009E+14,1401/03/08,3.24,2.51,,34
,3.64009E+14,1403/07/22,4.28,2.66,,16
,3.64009E+14,1403/04/11,2.92,3.78,,
,3.64009E+14,1400/07/04,5.23,3.28,16,
,3.64009E+14,1401/06/07,3.58,3.26,,107
,3.64009E+14,1402/12/16,4.15,3.1,,63
,3.64009E+14,1400/06/02,3.79,3.71,,18
,3.64009E+14,1402/11/15,3.83,3.66,,
,3.64099E+14,1401/11/09,3.29,3.03,,1481
,3.64099E+14,1399/07/02,3.5,3.23,,45
,3.64009E+14,1403/06/18,5,4.36,,12
,3.64009E+14,1400/06/02,3.67,2.98,,21
,3.64099E+14,1399/05/02,4.63,3.66,,
,3.64009E+14,1402/10/11,2.79,2.89,,12
,3.64009E+14,1400/06/02,3.23,2.99,,20
,3.64009E+14,1401/10/07,6.16,3.41,,67
,3.64099E+14,1399/08/03,3.5,2.98,,141
,3.64009E+14,1399/01/08,3.42,3.02,,98
,3.64009E+14,1400/05/02,2.03,3.32,,
,3.64009E+14,1400/07/04,4.83,3.91,28,
