RegNo,HerdCode,CalvePeriod,RecordDate,SumMilk,FatPercent,ProPercent,SomaticCell
3.64009E+14,,3,1403/06/18,28.01,3.19,3.95,12
3.64009E+14,,3,1403/07/22,55.98,4.22,2.95,89
3.64009E+14,,3,1403/08/24,60.66,3.38,3.69,160
3.64009E+14,,1,1400/11/05,26.5,4.67,3.06,16
3.64009E+14,,1,1400/12/02,36,3.05,2.63,21
3.64009E+14,,1,1401/01/06,36,3.82,2.48,24
3.64009E+14,,1,1401/02/04,40,3.26,2.62,133
3.64009E+14,,1,1401/03/08,35.5,3.58,2.06,31
3.64009E+14,,1,1401/04/04,37,3.69,3.47,295
3.64009E+14,,1,1401/05/04,35,3.21,3.24,34
3.64009E+14,,1,1401/06/07,26.93,3.49,3.56,29
3.64009E+14,,1,1401/07/07,33.9,5.25,3.75,88
3.64009E+14,,1,1401/08/08,31.57,4.27,3.7,85
3.64009E+14,,1,1401/09/08,31.67,4.76,3.39,113
3.64009E+14,,1,1401/10/07,30.23,6.99,4.02,66
3.64009E+14,,1,1401/11/09,29.27,5.55,3.46,91
3.64009E+14,,1,1401/12/10,28.66,5.53,2.92,242
3.64009E+14,,1,1402/01/09,27.62,4.41,3.34,110
3.64009E+14,,1,1402/02/12,30.16,6.9,2.62,13
3.64009E+14,,2,1402/05/13,49.61,3.46,2.42,13
3.64009E+14,,2,1402/06/15,51.03,3.87,4.03,122
3.64009E+14,,2,1402/07/11,44.42,5,3.16,13
3.64009E+14,,2,1402/08/13,40.48,0,0,0
3.64009E+14,,2,1402/09/11,40.32,4.74,3.05,34
3.64009E+14,,2,1402/10/11,38.79,5,3.43,12
3.64009E+14,,2,1402/11/15,36.41,4.37,3.35,0
3.64009E+14,,2,1402/12/16,35.75,5,3.23,283
3.64009E+14,,2,1403/02/07,34.98,4.29,3.43,120
3.64009E+14,,2,1403/03/11,32.61,0,0,0
3.64009E+14,,3,1403/05/15,46.91,4.39,3.66,12
3.64009E+14,,3,1403/06/18,56.63,3.17,3.35,166
3.64009E+14,,3,1403/07/22,39.74,4.44,3.23,172
3.64009E+14,,3,1403/08/24,41.35,4.73,3.82,578
3.64009E+14,,0,1400/11/05,24.5,6.45,3.02,17
3.64009E+14,,1,1400/12/02,34,3.07,2.63,19
3.64009E+14,,1,1401/01/06,42,3.69,2.23,23
3.64009E+14,,1,1401/02/04,35,3.99,2.36,40
3.64009E+14,,1,1401/03/08,34.5,3.95,2.25,29
3.64009E+14,,1,1401/04/04,25,4.02,3.31,32
3.64009E+14,,1,1401/05/04,37,2.9,3.27,522
3.64009E+14,,1,1401/06/07,31.95,2.91,3.59,115
3.64009E+14,,1,1401/07/07,35.07,4.08,3.87,105
3.64009E+14,,1,1401/08/08,27.8,5.39,4.09,320
3.64009E+14,,1,1401/09/08,23.36,3.65,3.25,435
3.64009E+14,,1,1401/10/07,25.27,5.54,3.92,70
3.64009E+14,,2,1402/01/09,49.2,3.59,3.91,17
3.64009E+14,,2,1402/02/12,54.63,5.05,2.74,24
3.64009E+14,,2,1402/03/12,44.55,5,2.94,1653
3.64009E+14,,2,1402/04/11,36.64,4.25,2.09,13
3.64009E+14,,2,1402/05/13,41.3,3.54,2.52,124
3.64009E+14,,2,1402/06/15,46.15,3.85,3.07,283
3.64009E+14,,2,1402/07/11,39.76,4.74,3.12,2985
3.64009E+14,,2,1402/08/13,36.2,0,0,0
3.64009E+14,,2,1402/09/11,28.86,4,2.76,494
3.64009E+14,,1,1400/11/05,28,4.37,2.89,24
3.64009E+14,,1,1400/12/02,40.5,2.97,3.49,24
3.64009E+14,,1,1401/01/06,42.5,4.06,2.12,29
3.64009E+14,,1,1401/02/04,43,4.18,2.3,133
3.64009E+14,,1,1401/03/08,40,4.51,2.08,40
3.64009E+14,,1,1401/04/04,39,3.56,3.31,72
3.64009E+14,,1,1401/05/04,32,3.47,3.13,32
3.64009E+14,,1,1401/06/07,33.61,2.84,3.15,30
3.64009E+14,,1,1401/07/07,37.17,3.81,3.36,32
3.64009E+14,,1,1401/08/08,34.96,6.56,3.61,220
3.64009E+14,,1,1401/09/08,37.37,3.73,2.61,41
3.64009E+14,,2,1401/10/07,39.46,3.75,3.48,67
3.64009E+14,,2,1401/11/09,36.59,4.43,3.37,1017
3.64009E+14,,2,1401/12/10,36.33,6.45,3.22,30
3.64009E+14,,2,1402/01/09,37.32,4.2,3.04,3815
3.64009E+14,,2,1402/02/12,31.41,6.55,3.32,19
3.64009E+14,,2,1402/03/12,32.38,3.68,2.94,1222
3.64009E+14,,2,1402/04/11,33.27,6.13,3.21,18
3.64009E+14,,2,1402/05/13,35.36,5,2.11,13
3.64009E+14,,2,1402/06/15,32.12,4.7,2.92,19
3.64009E+14,,2,1402/07/11,20.39,4.69,3.6,93
3.64009E+14,,3,1402/11/15,66.89,3.72,3.44,0
3.64009E+14,,3,1402/12/16,66.3,4.54,3.06,336
3.64009E+14,,3,1403/02/07,75.32,5,2.82,223
3.64009E+14,,3,1403/03/11,59.34,0,0,0
3.64009E+14,,3,1403/04/11,48.61,5,4,0
3.64009E+14,,3,1403/05/15,34.65,4.26,3.79,620
3.64009E+14,,3,1403/06/18,41.79,2.87,3.83,12
3.64009E+14,,3,1403/07/22,37.77,3.53,2.35,24
3.64009E+14,,3,1403/08/24,38.64,5,3.53,82
3.64009E+14,,0,1401/05/04,19.5,2.87,3.21,30
3.64009E+14,,1,1400/11/05,31,6.1,2.95,17
3.64009E+14,,1,1400/12/02,41,3.89,3.15,21
3.64009E+14,,1,1401/01/06,42,3.12,2.32,22
3.64009E+14,,1,1401/02/04,42,2.86,2.24,43
3.64009E+14,,1,1401/03/08,36,3.58,2.28,32
3.64009E+14,,1,1401/04/04,36,2.36,2.95,185
3.64009E+14,,1,1401/05/04,33,4.23,3.23,711
3.64009E+14,,1,1401/06/07,39.43,3.88,3.35,1812
3.64009E+14,,1,1401/07/07,39.12,4.93,3.68,140
3.64009E+14,,1,1401/08/08,32.41,5.13,3.8,124
3.64009E+14,,1,1401/09/08,36.74,2.59,3.32,411
3.64009E+14,,1,1401/10/07,35.62,4.49,3.6,68
3.64009E+14,,1,1401/11/09,32.51,5.68,3.32,1358
3.64009E+14,,2,1402/01/09,38.14,5.68,3.32,287
3.64009E+14,,2,1402/02/12,43.61,4.22,2.34,24
3.64009E+14,,2,1402/03/12,46.66,4.9,2.34,887
3.64009E+14,,2,1402/04/11,43.67,5.22,2.51,13
3.64009E+14,,2,1402/05/13,46.45,3.2,2.4,21
3.64009E+14,,2,1402/06/15,40.53,2,2.71,104
3.64009E+14,,2,1402/07/11,42.51,4.96,3.11,12
3.64009E+14,,2,1402/08/13,41.06,0,0,0
3.64009E+14,,2,1402/09/11,42.89,5,2.86,33
3.64009E+14,,2,1402/10/11,42.93,3.93,3.21,13
3.64009E+14,,2,1402/11/15,20.37,4,3.64,0
3.64009E+14,,2,1402/12/16,6.12,5,3.32,44
3.64009E+14,,3,1403/03/11,35.73,0,0,0
3.64009E+14,,3,1403/04/11,51.63,3.59,2.52,0
3.64009E+14,,3,1403/05/15,47.89,2.68,2.71,21
3.64009E+14,,3,1403/06/18,46.42,3.43,2.98,12
3.64009E+14,,3,1403/07/22,38.18,4.99,3.12,603
3.64009E+14,,3,1403/08/24,25.57,5,3.23,167
3.64009E+14,,1,1401/01/06,37,5.13,2.37,26
3.64009E+14,,1,1401/02/04,43,4.49,2.46,177
3.64009E+14,,1,1401/03/08,45,3.82,2.29,30
3.64009E+14,,1,1401/04/04,42.5,3.69,3.32,259
3.64009E+14,,1,1401/05/04,35,4.12,3.31,1777
3.64009E+14,,1,1401/06/07,33.39,4.04,3.7,118
3.64009E+14,,1,1401/07/07,42.03,4.83,3.63,59
3.64009E+14,,1,1401/08/08,37.52,3.68,3.14,113
3.64009E+14,,1,1401/09/08,44.55,3.97,3.24,185
3.64009E+14,,1,1401/10/07,44.01,4.45,3.58,67
3.64009E+14,,1,1401/11/09,40.68,5.43,3.36,3989
3.64009E+14,,1,1401/12/10,40.96,5.66,2.94,135
3.64009E+14,,1,1402/01/09,34.9,4.96,2.92,191
3.64009E+14,,2,1402/04/11,60.2,4.55,2.17,14
3.64009E+14,,2,1402/05/13,68.16,4.23,2.37,59
3.64009E+14,,2,1402/06/15,68.71001,3.95,3.36,43
3.64009E+14,,2,1402/07/11,57.15,5,3.06,102
3.64009E+14,,2,1402/08/13,58.61,0,0,0
3.64009E+14,,2,1402/09/11,60.69,3.22,2.9,27
3.64009E+14,,2,1402/10/11,54.81,4.03,3.14,11
3.64009E+14,,2,1402/11/15,58.15,3.86,3.2,0
3.64009E+14,,2,1402/12/16,54.57,4.52,2.78,76
3.64009E+14,,2,1403/02/07,53.79,5,3.21,162
3.64009E+14,,2,1403/03/11,50.86,0,0,0
3.64009E+14,,2,1403/04/11,52.86,3.37,3.84,0
3.64009E+14,,2,1403/05/15,48.48,4.89,3.39,11
3.64009E+14,,2,1403/06/18,47.25,2.42,3.3,14
3.64009E+14,,2,1403/07/22,38.41,3.51,2.96,239
3.64009E+14,,1,1400/12/02,24.5,6.99,3.47,20
3.64009E+14,,1,1400/11/05,18.5,5.66,3.25,25
3.64009E+14,,1,1400/12/02,35,3.41,2.78,18
3.64009E+14,,1,1401/01/06,38.5,4.05,2.19,22
3.64009E+14,,1,1401/02/04,37.5,2.75,2.26,42
3.64009E+14,,1,1401/03/08,34,3.8,2.39,31
3.64009E+14,,1,1401/04/04,34.5,3.79,3.25,40
3.64009E+14,,1,1401/05/04,32.5,3.04,3.02,88
3.64009E+14,,1,1401/06/07,34.07,3.07,3.6,29
3.64009E+14,,1,1401/07/07,36.89,5.63,3.48,34
3.64009E+14,,1,1401/08/08,33.47,3.88,3.05,29
3.64009E+14,,1,1401/09/08,30.41,3.85,3.97,35
3.64009E+14,,2,1401/12/10,47.67,6.68,2.3,48
3.64009E+14,,2,1402/01/09,47.86,4.57,3.19,33
3.64009E+14,,2,1402/02/12,49.25,3.77,2.36,12
3.64009E+14,,2,1402/03/12,48.33,3.54,2.53,909
3.64009E+14,,2,1402/04/11,46.92,5.54,2.15,85
3.64009E+14,,2,1402/05/13,44.52,3.97,2.32,13
3.64009E+14,,2,1402/06/15,46.19,4.42,3.29,15
3.64009E+14,,2,1402/07/11,33.34,5,3.16,820
3.64009E+14,,2,1402/08/13,44.47,0,0,0
3.64009E+14,,2,1402/09/11,32.55,5,3.05,72
3.64009E+14,,2,1402/10/11,30.51,5,3.44,11
3.64009E+14,,2,1402/12/16,41.02,4.64,2.85,355
3.64009E+14,,3,1403/02/07,54.46,5,2.77,75
3.64009E+14,,3,1403/03/11,51.44,0,0,0
3.64009E+14,,3,1403/04/11,41.55,0,0,0
3.64009E+14,,3,1403/05/15,42.17,4.82,2.95,73
3.64009E+14,,3,1403/06/18,34.91,2.62,3.63,14
3.64009E+14,,3,1403/07/22,34.81,5,3.12,101
3.64009E+14,,3,1403/08/24,39.53,3.48,3.07,126
3.64009E+14,,1,1401/06/07,31.96,2.72,3.27,109
3.64009E+14,,1,1401/07/07,42.94,4.56,3.04,238
3.64009E+14,,1,1401/08/08,40.19,2.03,3.4,93
3.64009E+14,,1,1401/09/08,39.29,2.95,3.21,38
3.64009E+14,,1,1401/10/07,41.1,4.32,3.27,70
3.64009E+14,,1,1401/11/09,41.24,4.71,3.36,172
3.64009E+14,,1,1401/12/10,37.75,4.38,2.77,139
3.64009E+14,,1,1402/01/09,34.88,4.96,2.83,122
3.64009E+14,,1,1402/02/12,38.16,4.86,2.81,16
3.64009E+14,,1,1402/03/12,36.75,5,2.85,1560
3.64009E+14,,1,1402/04/11,23.3,5.73,3.09,205
3.64009E+14,,2,1402/06/15,31.51,4.34,3.82,55
3.64009E+14,,2,1402/07/11,57.54,4.62,2.92,260
3.64009E+14,,2,1402/08/13,58.54,0,0,0
3.64009E+14,,2,1402/09/11,53.48,5,2.9,34
3.64009E+14,,2,1402/10/11,53.43,4.44,2.77,11
3.64009E+14,,2,1402/11/15,51.12,2.24,3.26,0
3.64009E+14,,2,1402/12/16,54.53,3.86,4.14,508
3.64009E+14,,2,1403/02/07,47.74,4.68,3.25,413
3.64009E+14,,2,1403/03/11,42.35,0,0,0
3.64009E+14,,2,1403/04/11,32.49,3.92,3.13,0
3.64009E+14,,2,1403/05/15,27.24,4.53,4.21,12
3.64009E+14,,3,1403/07/22,50.59,4.41,3.12,14
3.64009E+14,,3,1403/08/24,53.67,2.98,3.07,149
3.64009E+14,,1,1400/12/02,25,2.29,3.13,25
3.64009E+14,,1,1401/01/06,33.5,2.28,2.17,531
3.64009E+14,,1,1401/02/04,37,3.66,2.27,44
3.64009E+14,,1,1401/03/08,29,3.32,2.47,31
3.64009E+14,,1,1401/04/04,34.5,4.23,3.75,65
3.64009E+14,,1,1401/05/04,28.5,3.05,3.19,85
3.64009E+14,,1,1401/06/07,28.9,3.4,3.1,31
3.64009E+14,,1,1401/07/07,29.05,5.76,3.71,33
3.64009E+14,,1,1401/08/08,27.6,6.84,4.29,98
3.64009E+14,,1,1401/09/08,27.82,3.59,3.32,445
3.64009E+14,,1,1401/10/07,27.71,4.79,4.2,65
3.64009E+14,,1,1401/11/09,25.1,5.13,3.89,41
3.64009E+14,,1,1401/12/10,25.59,6.9,3.2,16
3.64009E+14,,2,1402/03/12,51.36,5,2.55,1130
3.64009E+14,,2,1402/04/11,46.45,2.95,2.14,275
3.64009E+14,,2,1402/05/13,41.41,3.12,2.26,16
3.64009E+14,,2,1402/06/15,40.23,4.26,2.94,980
3.64009E+14,,2,1402/07/11,39.9,5,3.02,548
3.64009E+14,,2,1402/08/13,41.02,0,0,0
3.64009E+14,,2,1402/09/11,36.44,4.81,3.29,619
3.64009E+14,,2,1402/10/11,35.25,4.18,3.79,10
3.64009E+14,,2,1402/11/15,28,4.35,3.17,0
3.64009E+14,,2,1402/12/16,32.02,5,3.4,90
3.64009E+14,,2,1403/02/07,23.22,4.14,3.8,369
3.64009E+14,,3,1403/05/15,63.09,2.84,3.36,16
3.64009E+14,,3,1403/06/18,61.96,2.15,3.06,21
3.64009E+14,,3,1403/07/22,62.62,3.47,3.08,18
3.64009E+14,,3,1403/08/24,3.8,0,0,0
3.64009E+14,,1,1400/12/02,25.5,5.01,4.03,31
3.64009E+14,,1,1401/01/06,31,3.6,2.32,339
3.64009E+14,,1,1401/02/04,35,2.97,2.35,50
3.64009E+14,,1,1401/03/08,36,3.51,2.32,29
3.64009E+14,,1,1401/04/04,35,2.38,2.92,186
3.64009E+14,,1,1401/05/04,33,2.86,3.18,29
3.64009E+14,,1,1401/06/07,34.15,3.26,3.48,30
3.64009E+14,,1,1401/07/07,36.44,4.99,3.41,410
3.64009E+14,,1,1401/08/08,28.09,5.35,3.92,170
3.64009E+14,,1,1401/09/08,29.89,4.02,3.23,94
3.64009E+14,,1,1401/10/07,33.57,3.29,3.45,66
3.64009E+14,,2,1402/01/09,45.33,5.99,3.37,33
