RegNo,HerdCode,FertDate,SpermNo
3.64009E+14,,1398/06/03,8.40003E+14
3.64009E+14,,1399/06/14,8.40003E+14
3.64009E+14,,1400/07/24,8.40003E+14
3.64009E+14,,1398/05/29,8.40003E+14
3.64009E+14,,1399/08/24,8.40003E+14
3.64009E+14,,1399/09/24,8.40003E+14
3.64009E+14,,1399/10/24,8.40003E+14
3.64009E+14,,1399/11/24,8.40003E+14
3.64009E+14,,1399/12/24,8.40003E+14
3.64009E+14,,1400/12/04,8.40003E+14
3.64009E+14,,1401/01/04,8.40003E+14
3.64009E+14,,1401/02/04,8.40003E+14
3.64009E+14,,1401/03/04,8.40003E+14
3.64009E+14,,1402/04/28,8.40003E+14
3.64009E+14,,1402/05/28,8.40003E+14
3.64009E+14,,1402/06/28,8.40003E+14
3.64009E+14,,1402/07/28,8.40003E+14
3.64009E+14,,1399/04/09,8.40003E+14
3.64009E+14,,1399/01/24,8.40003E+14
3.64009E+14,,1398/06/31,8.40003E+14
3.64009E+14,,1399/12/13,8.40003E+14
3.64009E+14,,1400/01/13,8.40003E+14
3.64009E+14,,1400/02/13,8.40003E+14
3.64009E+14,,1400/03/13,8.40003E+14
3.64009E+14,,1400/10/13,8.40003E+14
3.64009E+14,,1400/11/13,8.40003E+14
3.64009E+14,,1401/02/13,8.40003E+14
3.64009E+14,,1401/03/13,8.40003E+14
3.64009E+14,,1401/04/13,8.40003E+14
